month,position,artist,song,score,us,uk,de,fr,ca,au
"Jan 2000","1","Rob Thomas & Santana","Smooth","3745.669","1","-","-","-","-","5"
"Jan 2000","2","Savage Garden","I Knew I Loved You","3617.115","1","56","-","43","1","21"
"Jan 2000","3","Christina Aguilera","What A Girl Wants","3484.619","1","81","-","-","1","9"
"Jan 2000","4","Brian McKnight","Back At One","3281.531","2","-","-","-","-","-"
"Jan 2000","5","Eiffel 65","Blue (Da Ba Dee)","3063.141","6","28","-","10","1","1"
"Jan 2000","6","Celine Dion","That's The Way It Is","2933.355","8","20","-","10","-","14"
"Jan 2000","7","Jessica Simpson","I Wanna Love You Forever","2891.413","3","-","-","-","-","-"
"Jan 2000","8","Missy 'Misdemeanor' Elliott, NAS & Eve","Hot Boyz","2866.198","5","18","-","-","-","-"
"Jan 2000","9","Whitney Houston","My Love Is Your Love","2772.888","4","-","-","97","-","-"
"Jan 2000","10","Jennifer Lopez","Waiting For Tonight","2766.083","14","41","-","16","-","4"
"Jan 2000","11","Donell Jones","U Know What's Up","2658.057","8","2","-","-","-","-"
"Jan 2000","12","Marc Anthony","I Need To Know","2644.933","6","-","-","-","-","41"
"Jan 2000","13","Blaque","Bring It All To Me","2572.490","5","-","-","-","-","-"
"Jan 2000","14","Len","Steal My Sunshine","2303.729","20","9","-","-","-","3"
"Jan 2000","15","Smash Mouth","Then The Morning Comes","2161.426","11","-","-","-","-","-"
"Jan 2000","16","LFO","Girl On Tv","2123.615","10","-","-","-","-","-"
"Jan 2000","17","Jagged Edge","He Can't Love U","2036.159","15","-","-","-","-","-"
"Jan 2000","18","Kevon Edmonds","24/7","2010.779","12","-","-","-","-","-"
"Jan 2000","19","Montell Jordan","Get It On Tonite","2006.260","15","-","-","-","-","-"
"Jan 2000","20","The Foo Fighters","Learn To Fly","1883.219","19","-","-","-","-","48"
"Jan 2000","21","Enrique Iglesias","Rhythm Divine","1873.840","32","-","-","27","-","37"
"Jan 2000","22","Train","Meet Virginia","1838.804","20","-","-","-","-","-"
"Jan 2000","23","Lou Bega","Mambo No. 5 (A Little Bit Of...)","1811.881","32","78","-","1","-","33"
"Jan 2000","24","LeAnn Rimes","Big Deal","1707.332","23","-","-","-","-","-"
"Jan 2000","25","702","Where My Girls At?","1705.632","26","-","-","83","-","-"
"Jan 2000","26","TLC","Unpretty","1697.405","25","-","-","-","-","41"
"Jan 2000","27","Kenny G","Auld Lang Syne","1687.560","7","-","-","-","-","-"
"Jan 2000","28","Lonestar","Amazed","1681.008","14","-","-","-","-","-"
"Jan 2000","29","Juvenile & Mannie Fresh","Back That Thang Up","1679.781","24","-","-","-","-","-"
"Jan 2000","30","Filter","Take A Picture","1668.521","19","-","-","-","-","-"
"Jan 2000","31","Faith Hill","Breathe","1651.892","23","-","-","-","-","-"
"Jan 2000","32","Counting Crows","Hanginaround","1616.782","28","-","-","-","-","-"
"Jan 2000","33","Destiny's Child","Say My Name","1586.521","13","-","-","-","-","-"
"Jan 2000","34","Will Smith","Will 2K","1572.327","57","21","-","32","-","3"
"Jan 2000","35","Mariah Carey","Thank God I Found You","1564.697","22","-","-","-","-","-"
"Jan 2000","36","Sugar Ray","Someday","1557.480","27","-","-","-","-","-"
"Jan 2000","37","Ricky Martin","Shake Your Bon-Bon","1544.665","39","61","-","-","-","27"
"Jan 2000","38","P Diddy & R Kelly","Satisfy You","1544.126","44","-","-","32","-","39"
"Jan 2000","39","Ol' Dirty Bastard & Kelis","Got Your Money","1484.116","38","-","-","82","-","-"
"Jan 2000","40","The Goo Goo Dolls","Black Balloon","1478.309","33","-","-","-","-","-"
"Jan 2000","41","The Backstreet Boys","Show Me The Meaning Of Being Lonely","1457.522","16","97","-","-","-","-"
"Jan 2000","42","Imx","Stay The Night","1454.705","23","-","-","-","-","-"
"Jan 2000","43","The Dixie Chicks","Cowboy Take Me Away","1428.473","27","-","-","-","-","-"
"Jan 2000","44","M2M","Don't Say You Love Me","1418.561","21","-","-","-","-","4"
"Jan 2000","45","Britney Spears","(You Drive Me) Crazy","1407.198","73","-","-","2","-","13"
"Jan 2000","46","Reba McEntire","What Do You Say","1397.932","31","-","-","-","-","-"
"Jan 2000","47","Mariah Carey & Jay-Z","Heartbreaker","1395.052","60","47","-","8","-","17"
"Jan 2000","48","Ice Cube & Mack 10","You Can Do It","1393.863","35","-","-","-","-","-"
"Jan 2000","49","Brad Paisley","He Didn't Have To Be","1378.843","37","-","-","-","-","-"
"Jan 2000","50","blink-182","All The Small Things","1367.384","26","-","-","-","-","44"
"Feb 2000","1","Savage Garden","I Knew I Loved You","3843.012","1","-","-","50","1","29"
"Feb 2000","2","Christina Aguilera","What A Girl Wants","3790.779","2","3","-","21","1","5"
"Feb 2000","3","Mariah Carey","Thank God I Found You","2894.350","1","-","-","-","-","-"
