,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"bad guy","Billie Eilish",5571349,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2,"Old Town Road - Remix","Lil Nas X",4342932,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
3,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",4264470,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh
4,"Old Town Road","Lil Nas X",3241903,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
5,SOS,Avicii,3127023,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
6,"Con Calma","Daddy Yankee",2918250,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
7,"7 rings","Ariana Grande",2896607,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2885345,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
9,Sucker,"Jonas Brothers",2787620,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
10,"Boy With Luv (feat. Halsey)",BTS,2680667,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
11,Talk,Khalid,2589530,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
12,"bury a friend","Billie Eilish",2307957,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
13,Shallow,"Lady Gaga",2283316,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
14,Wow.,"Post Malone",2246312,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
15,"Don't Call Me Up",Mabel,2185342,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
16,"when the party's over","Billie Eilish",1994191,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
17,"Kill This Love",BLACKPINK,1969114,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
18,"wish you were gay","Billie Eilish",1914042,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
19,"Here With Me",Marshmello,1906338,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
20,"Pa Mí - Remix",Dalex,1890999,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
21,HP,Maluma,1859280,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
22,"Sweet but Psycho","Ava Max",1853420,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
23,"Without Me",Halsey,1840767,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
24,"Calma - Remix","Pedro Capó",1799721,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
25,Happier,Marshmello,1783204,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
26,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",1767959,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
27,"Dancing With A Stranger (with Normani)","Sam Smith",1763237,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
28,"Verte Ir","DJ Luian",1725118,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
