"","year","month","song","artist","speechiness","energy","danceability","acousticness"
"1",2000,"Jan","Smooth","Rob Thomas & Santana",0.06,0.964,0.647,0.00434
"2",2000,"Feb","Smooth","Rob Thomas & Santana",0.06,0.964,0.647,0.00434
"3",2000,"Mar","Smooth","Rob Thomas & Santana",0.06,0.964,0.647,0.00434
"4",2000,"Apr","Smooth","Rob Thomas & Santana",0.06,0.964,0.647,0.00434
"5",2000,"May","Smooth","Rob Thomas & Santana",0.06,0.964,0.647,0.00434
"6",2000,"Jun","Smooth","Rob Thomas & Santana",0.06,0.964,0.647,0.00434
"7",2000,"Jul","Smooth","Rob Thomas & Santana",0.06,0.964,0.647,0.00434
"8",2000,"Aug","Smooth","Rob Thomas & Santana",0.06,0.964,0.647,0.00434
"9",2000,"Jan","I Knew I Loved You","Savage Garden",0.0287,0.517,0.556,0.307
"10",2000,"Feb","I Knew I Loved You","Savage Garden",0.0287,0.517,0.556,0.307
"11",2000,"Mar","I Knew I Loved You","Savage Garden",0.0287,0.517,0.556,0.307
"12",2000,"Apr","I Knew I Loved You","Savage Garden",0.0287,0.517,0.556,0.307
"13",2000,"May","I Knew I Loved You","Savage Garden",0.0287,0.517,0.556,0.307
"14",2000,"Jan","What A Girl Wants","Christina Aguilera",0.112,0.819,0.754,0.0684
"15",2000,"Feb","What A Girl Wants","Christina Aguilera",0.112,0.819,0.754,0.0684
"16",2000,"Mar","What A Girl Wants","Christina Aguilera",0.112,0.819,0.754,0.0684
"17",2000,"Apr","What A Girl Wants","Christina Aguilera",0.112,0.819,0.754,0.0684
"18",2000,"Jan","Back At One","Brian McKnight",0.0307,0.357,0.649,0.542
"19",2000,"Feb","Back At One","Brian McKnight",0.0307,0.357,0.649,0.542
"20",2000,"Feb","Back At One","Brian McKnight",0.0307,0.357,0.649,0.542
"21",2000,"Mar","Back At One","Brian McKnight",0.0307,0.357,0.649,0.542
"22",2000,"Mar","Back At One","Brian McKnight",0.0307,0.357,0.649,0.542
"23",2000,"Apr","Back At One","Brian McKnight",0.0307,0.357,0.649,0.542
"24",2000,"Jan","Amazed","Lonestar",0.0319,0.553,0.557,0.247
"25",2000,"Feb","Amazed","Lonestar",0.0319,0.553,0.557,0.247
"26",2000,"Mar","Amazed","Lonestar",0.0319,0.553,0.557,0.247
"27",2000,"Apr","Amazed","Lonestar",0.0319,0.553,0.557,0.247
"28",2000,"May","Amazed","Lonestar",0.0319,0.553,0.557,0.247
"29",2000,"Jun","Amazed","Lonestar",0.0319,0.553,0.557,0.247
"30",2000,"Jul","Amazed","Lonestar",0.0319,0.553,0.557,0.247
"31",2000,"Aug","Amazed","Lonestar",0.0319,0.553,0.557,0.247
"32",2000,"Feb","Bye, Bye, Bye","N Sync",0.0479,0.926,0.61,0.031
"33",2000,"Mar","Bye, Bye, Bye","N Sync",0.0479,0.926,0.61,0.031
"34",2000,"Apr","Bye, Bye, Bye","N Sync",0.0479,0.926,0.61,0.031
"35",2000,"May","Bye, Bye, Bye","N Sync",0.0479,0.926,0.61,0.031
"36",2000,"Jun","Bye, Bye, Bye","N Sync",0.0479,0.926,0.61,0.031
"37",2000,"Feb","Maria Maria","Santana & The Product G",0.0365,0.842,0.673,0.06
"38",2000,"Mar","Maria Maria","Santana & The Product G",0.0365,0.842,0.673,0.06
"39",2000,"Apr","Maria Maria","Santana & The Product G",0.0365,0.842,0.673,0.06
"40",2000,"May","Maria Maria","Santana & The Product G",0.0365,0.842,0.673,0.06
"41",2000,"Jun","Maria Maria","Santana & The Product G",0.0365,0.842,0.673,0.06
"42",2000,"Jul","Maria Maria","Santana & The Product G",0.0365,0.842,0.673,0.06
"43",2000,"Aug","Maria Maria","Santana & The Product G",0.0365,0.842,0.673,0.06
"44",2000,"Jan","Show Me The Meaning Of Being Lonely","The Backstreet Boys",0.0252,0.625,0.63,0.231
"45",2000,"Feb","Show Me The Meaning Of Being Lonely","The Backstreet Boys",0.0252,0.625,0.63,0.231
"46",2000,"Mar","Show Me The Meaning Of Being Lonely","The Backstreet Boys",0.0252,0.625,0.63,0.231
"47",2000,"Apr","Show Me The Meaning Of Being Lonely","The Backstreet Boys",0.0252,0.625,0.63,0.231
"48",2000,"May","Show Me The Meaning Of Being Lonely","The Backstreet Boys",0.0252,0.625,0.63,0.231
"49",2000,"Jan","Say My Name","Destiny's Child",0.102,0.678,0.713,0.273
"50",2000,"Feb","Say My Name","Destiny's Child",0.102,0.678,0.713,0.273
"51",2000,"Mar","Say My Name","Destiny's Child",0.102,0.678,0.713,0.273
"52",2000,"Apr","Say My Name","Destiny's Child",0.102,0.678,0.713,0.273
"53",2000,"May","Say My Name","Destiny's Child",0.102,0.678,0.713,0.273
"54",2000,"Jun","Say My Name","Destiny's Child",0.102,0.678,0.713,0.273
"55",2000,"Jul","Say My Name","Destiny's Child",0.102,0.678,0.713,0.273
"56",2000,"Jan","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"57",2000,"Feb","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"58",2000,"Mar","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"59",2000,"Apr","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"60",2000,"May","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"61",2000,"Jun","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"62",2000,"Jul","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"63",2000,"Aug","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"64",2000,"Sep","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"65",2000,"Aug","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"66",2000,"Sep","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"67",2000,"Dec","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"68",2000,"Nov","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"69",2000,"Dec","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"70",2000,"Jan","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"71",2000,"Apr","He Wasn't Man Enough","Toni Braxton",0.0412,0.947,0.739,0.00947
"72",2000,"May","He Wasn't Man Enough","Toni Braxton",0.0412,0.947,0.739,0.00947
"73",2000,"Jun","He Wasn't Man Enough","Toni Braxton",0.0412,0.947,0.739,0.00947
"74",2000,"Jul","He Wasn't Man Enough","Toni Braxton",0.0412,0.947,0.739,0.00947
"75",2000,"Aug","He Wasn't Man Enough","Toni Braxton",0.0412,0.947,0.739,0.00947
"76",2000,"Sep","He Wasn't Man Enough","Toni Braxton",0.0412,0.947,0.739,0.00947
"77",2000,"Oct","He Wasn't Man Enough","Toni Braxton",0.0412,0.947,0.739,0.00947
"78",2000,"Nov","He Wasn't Man Enough","Toni Braxton",0.0412,0.947,0.739,0.00947
"79",2000,"Feb","Thong Song","Sisqo",0.0614,0.885,0.701,0.132
"80",2000,"Mar","Thong Song","Sisqo",0.0614,0.885,0.701,0.132
"81",2000,"Apr","Thong Song","Sisqo",0.0614,0.885,0.701,0.132
"82",2000,"May","Thong Song","Sisqo",0.0614,0.885,0.701,0.132
"83",2000,"Jun","Thong Song","Sisqo",0.0614,0.885,0.701,0.132
"84",2000,"Jul","Thong Song","Sisqo",0.0614,0.885,0.701,0.132
"85",2000,"May","Oops!... I Did It Again","Britney Spears",0.0437,0.834,0.751,0.3
"86",2000,"Jun","Oops!... I Did It Again","Britney Spears",0.0437,0.834,0.751,0.3
"87",2000,"Jul","Oops!... I Did It Again","Britney Spears",0.0437,0.834,0.751,0.3
"88",2000,"Aug","Oops!... I Did It Again","Britney Spears",0.0437,0.834,0.751,0.3
"89",2000,"Apr","Be With You","Enrique Iglesias",0.0355,0.873,0.49,0.107
"90",2000,"May","Be With You","Enrique Iglesias",0.0355,0.873,0.49,0.107
"91",2000,"Jun","Be With You","Enrique Iglesias",0.0355,0.873,0.49,0.107
"92",2000,"Jul","Be With You","Enrique Iglesias",0.0355,0.873,0.49,0.107
"93",2000,"Apr","Try Again","Aaliyah",0.0371,0.352,0.435,0.814
"94",2000,"May","Try Again","Aaliyah",0.0371,0.352,0.435,0.814
"95",2000,"Jun","Try Again","Aaliyah",0.0371,0.352,0.435,0.814
"96",2000,"Jul","Try Again","Aaliyah",0.0371,0.352,0.435,0.814
"97",2000,"Aug","Try Again","Aaliyah",0.0371,0.352,0.435,0.814
"98",2000,"Sep","Try Again","Aaliyah",0.0371,0.352,0.435,0.814
"99",2000,"Oct","Try Again","Aaliyah",0.0371,0.352,0.435,0.814
"100",2000,"May","The Real Slim Shady","Eminem",0.061,0.665,0.95,0.0339
"101",2000,"Jun","The Real Slim Shady","Eminem",0.061,0.665,0.95,0.0339
"102",2000,"Jul","The Real Slim Shady","Eminem",0.061,0.665,0.95,0.0339
"103",2000,"Aug","The Real Slim Shady","Eminem",0.061,0.665,0.95,0.0339
"104",2000,"Sep","The Real Slim Shady","Eminem",0.061,0.665,0.95,0.0339
"105",2000,"Feb","Everything You Want","Vertical Horizon",0.0305,0.759,0.637,0.0504
"106",2000,"Mar","Everything You Want","Vertical Horizon",0.0305,0.759,0.637,0.0504
"107",2000,"Apr","Everything You Want","Vertical Horizon",0.0305,0.759,0.637,0.0504
"108",2000,"May","Everything You Want","Vertical Horizon",0.0305,0.759,0.637,0.0504
"109",2000,"Jun","Everything You Want","Vertical Horizon",0.0305,0.759,0.637,0.0504
"110",2000,"Jul","Everything You Want","Vertical Horizon",0.0305,0.759,0.637,0.0504
"111",2000,"Aug","Everything You Want","Vertical Horizon",0.0305,0.759,0.637,0.0504
"112",2000,"Sep","Everything You Want","Vertical Horizon",0.0305,0.759,0.637,0.0504
"113",2000,"Oct","Everything You Want","Vertical Horizon",0.0305,0.759,0.637,0.0504
"114",2000,"Jun","It's Gonna Be Me","N Sync",0.071,0.873,0.636,0.0407
"115",2000,"Jul","It's Gonna Be Me","N Sync",0.071,0.873,0.636,0.0407
"116",2000,"Aug","It's Gonna Be Me","N Sync",0.071,0.873,0.636,0.0407
"117",2000,"Sep","It's Gonna Be Me","N Sync",0.071,0.873,0.636,0.0407
"118",2000,"Oct","It's Gonna Be Me","N Sync",0.071,0.873,0.636,0.0407
"119",2000,"Jun","Jumpin' Jumpin'","Destiny's Child",0.0567,0.685,0.771,0.00543
"120",2000,"Jul","Jumpin' Jumpin'","Destiny's Child",0.0567,0.685,0.771,0.00543
"121",2000,"Aug","Jumpin' Jumpin'","Destiny's Child",0.0567,0.685,0.771,0.00543
"122",2000,"Sep","Jumpin' Jumpin'","Destiny's Child",0.0567,0.685,0.771,0.00543
"123",2000,"Oct","Jumpin' Jumpin'","Destiny's Child",0.0567,0.685,0.771,0.00543
"124",2000,"Nov","Jumpin' Jumpin'","Destiny's Child",0.0567,0.685,0.771,0.00543
"125",2000,"May","Bent","Matchbox Twenty",0.0414,0.711,0.726,0.213
"126",2000,"Jun","Bent","Matchbox Twenty",0.0414,0.711,0.726,0.213
"127",2000,"Jul","Bent","Matchbox Twenty",0.0414,0.711,0.726,0.213
"128",2000,"Aug","Bent","Matchbox Twenty",0.0414,0.711,0.726,0.213
"129",2000,"Sep","Bent","Matchbox Twenty",0.0414,0.711,0.726,0.213
"130",2000,"Oct","Bent","Matchbox Twenty",0.0414,0.711,0.726,0.213
"131",2000,"Nov","Bent","Matchbox Twenty",0.0414,0.711,0.726,0.213
"132",2000,"Dec","Bent","Matchbox Twenty",0.0414,0.711,0.726,0.213
"133",2000,"Aug","Incomplete","Sisqo",0.0759,0.446,0.75,0.282
"134",2000,"Sep","Incomplete","Sisqo",0.0759,0.446,0.75,0.282
"135",2000,"Oct","Incomplete","Sisqo",0.0759,0.446,0.75,0.282
"136",2000,"Nov","Incomplete","Sisqo",0.0759,0.446,0.75,0.282
"137",2000,"Dec","Incomplete","Sisqo",0.0759,0.446,0.75,0.282
"138",2000,"May","Incomplete","Sisqo",0.0759,0.446,0.75,0.282
"139",2000,"Jun","Incomplete","Sisqo",0.0759,0.446,0.75,0.282
"140",2000,"Jul","Incomplete","Sisqo",0.0759,0.446,0.75,0.282
"141",2000,"Aug","Incomplete","Sisqo",0.0759,0.446,0.75,0.282
"142",2000,"Jul","Doesn't Really Matter","Janet Jackson",0.0825,0.8,0.773,0.0791
"143",2000,"Aug","Doesn't Really Matter","Janet Jackson",0.0825,0.8,0.773,0.0791
"144",2000,"Sep","Doesn't Really Matter","Janet Jackson",0.0825,0.8,0.773,0.0791
"145",2000,"Oct","Doesn't Really Matter","Janet Jackson",0.0825,0.8,0.773,0.0791
"146",2000,"Nov","Doesn't Really Matter","Janet Jackson",0.0825,0.8,0.773,0.0791
"147",2000,"Aug","Music","Madonna",0.105,0.687,0.523,0.0215
"148",2000,"Sep","Music","Madonna",0.105,0.687,0.523,0.0215
"149",2000,"Oct","Music","Madonna",0.105,0.687,0.523,0.0215
"150",2000,"Nov","Music","Madonna",0.105,0.687,0.523,0.0215
"151",2000,"Dec","Music","Madonna",0.105,0.687,0.523,0.0215
"152",2000,"Jan","Music","Madonna",0.105,0.687,0.523,0.0215
"153",2000,"Jun","Music","Madonna",0.105,0.687,0.523,0.0215
"154",2000,"Jul","Music","Madonna",0.105,0.687,0.523,0.0215
"155",2000,"Aug","Music","Madonna",0.105,0.687,0.523,0.0215
"156",2000,"Sep","Come On Over Baby (All I Want Is You)","Christina Aguilera",0.106,0.915,0.829,0.226
"157",2000,"Oct","Come On Over Baby (All I Want Is You)","Christina Aguilera",0.106,0.915,0.829,0.226
"158",2000,"Nov","Come On Over Baby (All I Want Is You)","Christina Aguilera",0.106,0.915,0.829,0.226
"159",2000,"Dec","Come On Over Baby (All I Want Is You)","Christina Aguilera",0.106,0.915,0.829,0.226
"160",2000,"Sep","Give Me Just One Night","98 Degrees",0.0491,0.79,0.543,0.0513
"161",2000,"Oct","Give Me Just One Night","98 Degrees",0.0491,0.79,0.543,0.0513
"162",2000,"Nov","Give Me Just One Night","98 Degrees",0.0491,0.79,0.543,0.0513
"163",2000,"Sep","Most Girls","Pink",0.0775,0.588,0.76,0.0485
"164",2000,"Oct","Most Girls","Pink",0.0775,0.588,0.76,0.0485
"165",2000,"Nov","Most Girls","Pink",0.0775,0.588,0.76,0.0485
"166",2000,"Dec","Most Girls","Pink",0.0775,0.588,0.76,0.0485
"167",2000,"Jan","Most Girls","Pink",0.0775,0.588,0.76,0.0485
"168",2000,"Aug","Most Girls","Pink",0.0775,0.588,0.76,0.0485
"169",2000,"Oct","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"170",2000,"Nov","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"171",2000,"Dec","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"172",2000,"Jan","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"173",2000,"Feb","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"174",2000,"Mar","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"175",2000,"Sep","With Arms Wide Open","Creed",0.0302,0.539,0.41,0.00425
"176",2000,"Oct","With Arms Wide Open","Creed",0.0302,0.539,0.41,0.00425
"177",2000,"Nov","With Arms Wide Open","Creed",0.0302,0.539,0.41,0.00425
"178",2000,"Dec","With Arms Wide Open","Creed",0.0302,0.539,0.41,0.00425
"179",2000,"Jan","With Arms Wide Open","Creed",0.0302,0.539,0.41,0.00425
"180",2000,"Feb","With Arms Wide Open","Creed",0.0302,0.539,0.41,0.00425
"181",2000,"Mar","With Arms Wide Open","Creed",0.0302,0.539,0.41,0.00425
"182",2000,"Sep","Case Of The Ex (Whatcha Gonna Do)","Mya",0.0445,0.69,0.78,0.0565
"183",2000,"Oct","Case Of The Ex (Whatcha Gonna Do)","Mya",0.0445,0.69,0.78,0.0565
"184",2000,"Nov","Case Of The Ex (Whatcha Gonna Do)","Mya",0.0445,0.69,0.78,0.0565
"185",2000,"Dec","Case Of The Ex (Whatcha Gonna Do)","Mya",0.0445,0.69,0.78,0.0565
"186",2000,"Jan","Case Of The Ex (Whatcha Gonna Do)","Mya",0.0445,0.69,0.78,0.0565
"187",2000,"Feb","Case Of The Ex (Whatcha Gonna Do)","Mya",0.0445,0.69,0.78,0.0565
"188",2001,"Oct","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"189",2001,"Nov","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"190",2001,"Dec","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"191",2001,"Jan","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"192",2001,"Feb","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"193",2001,"Mar","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"194",2001,"Nov","It Wasn't Me","Shaggy & Ricardo 'RikRok' Ducent",0.0642,0.604,0.852,0.0503
"195",2001,"Dec","It Wasn't Me","Shaggy & Ricardo 'RikRok' Ducent",0.0642,0.604,0.852,0.0503
"196",2001,"Jan","It Wasn't Me","Shaggy & Ricardo 'RikRok' Ducent",0.0642,0.604,0.852,0.0503
